n_samples,time,mem
3.60E+01,1.64E+00,1.28E+06
4.70E+01,5.17E+00,2.53E+06
5.80E+01,6.83E+00,4.50E+06
6.90E+01,7.43E+00,6.41E+06
8.00E+01,1.00E+01,9.98E+06
9.10E+01,1.38E+01,1.44E+07
1.02E+02,1.51E+01,2.07E+07
1.13E+02,1.73E+01,2.66E+07
1.24E+02,2.03E+01,3.66E+07
1.35E+02,3.55E+01,5.08E+07
1.46E+02,4.78E+01,8.00E+07
1.57E+02,5.70E+01,1.07E+08
1.68E+02,6.36E+01,1.34E+08
1.79E+02,8.89E+01,1.92E+08
1.90E+02,1.33E+02,2.79E+08
2.01E+02,2.78E+02,5.10E+08
2.12E+02,2.00E+02,6.52E+08
2.23E+02,2.76E+02,9.04E+08
2.34E+02,4.50E+02,1.24E+09
2.45E+02,5.59E+02,1.69E+09
2.56E+02,4.36E+02,2.12E+09
2.67E+02,5.33E+02,2.55E+09
2.78E+02,7.83E+02,3.21E+09
2.89E+02,9.51E+02,4.01E+09
3.00E+02,1.25E+03,5.27E+09
3.11E+02,1.25E+03,6.36E+09
3.22E+02,1.47E+03,7.66E+09
3.33E+02,1.85E+03,9.65E+09
3.44E+02,2.23E+03,1.16E+10
3.55E+02,2.65E+03,1.39E+10
